Phases,Date,Headline,URL,Type,What it Does,Author,Desk,Image,Notes,Updates,
,3/25/2015,Small Debris Indicates Germanwings Plane Didn’t Explode in Air,http://www.nytimes.com/2015/03/26/world/europe/small-debris-indicates-germanwings-plane-didnt-explode-in-air.html,Article,,Jad Mouawad,Europe,N,,3/26/2015 12:8;,
18,3/25/2015,Cost a Factor in Streaming Flight Data in Real Time,http://www.nytimes.com/2015/03/26/business/cost-a-factor-in-streaming-flight-data-in-real-time.html,Article,,Jad Mouawad,Business,Y,,3/26/2015 3:4;3/25/2015 21:58;3/25/2015 21:9;,
17,3/25/2015,Victims of Germanwings Flight 9525,http://www.nytimes.com/interactive/2015/03/25/world/europe/germanwings-victims.html,Article,,,Europe,Y / Duplicate,multiple articles,3/25/2015 20:20:43;03/26/2015 03:29:23 PM;03/26/2015 03:29:33 PM;03/31/2015 02:13:13 PM;06/04/2015 02:49:04 PM;07/20/2015 12:50:00 PM;,
16,3/25/2015,"In German Town, Crushing Grief at Losing 16 Students and 2 Teachers in Jet Crash",http://www.nytimes.com/2015/03/26/world/europe/germanwings-plane-crash-joseph-konig-gymnasium-students.html,Article,,Jack Ewing,Europe,Y,,3/25/2015 22:44;3/25/2015 22:7;3/25/2015 20:59;3/25/2015 13:40;,
15,3/25/2015,Challenges Weigh Heavily on Recovery Efforts in Germanwings Crash,http://www.nytimes.com/2015/03/26/world/europe/challenges-weigh-heavily-on-recovery-efforts-in-germanwings-crash.html,Article,,"Alissa J. Rubin, Maïa de la Baume",Europe,Y,,4/2/2015 22:34;3/31/2015 16:17;3/26/2015 4:14;3/26/2015 2:46;3/25/2015 22:55;3/25/2015 22:19;3/25/2015 21:58;3/25/2015 20:52;3/25/2015 17:1;3/25/2015 9:46;3/25/2015 9:29;3/25/2015 8:54;,
14,3/25/2015,"Among Germanwings Crash Victims, Opera Singers and Newlyweds",http://www.nytimes.com/2015/03/26/world/europe/germanwings-passengers.html,Article,,"Raphael Minder, Alison Smale",Europe,Y / Duplicate,,3/25/2015 21:35;3/25/2015 16:24;3/25/2015 14:58;3/25/2015 14:39;3/25/2015 13:17;3/25/2015 12:39;3/25/2015 12:17;3/25/2015 8:33;3/25/2015 8:14;3/25/2015 7:53;3/25/2015 6:20;3/25/2015 5:40;,
13,3/25/2015,Germanwings Pilot Was Locked Out of Cockpit Before Crash in France,http://www.nytimes.com/2015/03/26/world/europe/germanwings-airbus-crash.html,Article,,"Nicola Clark, Dan Bilefsky",Europe,Y,,4/1/2015 12:6;3/27/2015 14:5;3/26/2015 15:3;3/26/2015 12:46;3/26/2015 3:57;3/25/2015 22:55;3/25/2015 21:33;3/25/2015 20:47;3/25/2015 20:23;3/25/2015 19:44;3/25/2015 17:27;3/25/2015 16:19;3/25/2015 11:7;3/25/2015 10:49;3/25/2015 10:30;3/25/2015 10:8;3/25/2015 9:46;3/25/2015 8:54;3/25/2015 8:32;3/25/2015 7:45;3/25/2015 7:26;3/25/2015 7:8;3/25/2015 6:50;3/25/2015 5:51;3/25/2015 5:30;3/25/2015 5:7;,
12,3/25/2015,German School Mourns Students in Crash,http://www.nytimes.com/video/world/europe/100000003593318/german-school-mourns-students-in-crash.html,Multimedia,,,Video,Y,,3/25/2015 16:55:59,
11,3/25/2015,Investigator: Audio Retrieved From Plane,http://www.nytimes.com/video/world/europe/100000003592973/investigator-audio-retrieved-from-plane.html,Multimedia,,,Video,Y,,3/25/2015 15:09:38,
10,3/25/2015,Officials Discuss Victims on Airbus,http://www.nytimes.com/video/world/europe/100000003592631/officials-discuss-victims-on-airbus-.html,Multimedia,,,Video,Y,,03/25/2015 02:17:30 PM;03/25/2015 08:22:18 PM;03/25/2015 08:22:42 PM;03/25/2015 08:22:47 PM;03/26/2015 12:42:37 AM;03/26/2015 12:42:39 AM;,
